full_name,treated,stars,size_kb,forks,num_commits,num_contributors,repo_age_months
mixpanel/mixpanel-android,1,1045,32328,371,2249,84,187
modlix-india/nocode-saas,1,9,14096,4,5169,28,43
moneytoo/Player,0,2457,406796,252,1033,45,64
monukumar98/Super_150_GLA_2026,0,19,21961,5,63,1,31
mopsy14/Minecraft-Discord-Statusbot,0,20,9855,4,48,5,59
msgpack/msgpack-java,1,1466,3750,324,1852,63,177
mucommander/mucommander,0,1185,64906,197,6432,44,145
muhamadto/spring-native-aws-lambda,0,20,345,5,81,3,57
mukeshlilawat1/Hotel-Booking-App,0,20,66,2,9,2,11
mzmine/mzmine,0,263,837239,158,18750,61,76
nacos-group/nacos-plugin,0,235,249,177,64,20,51
namankhurpia/Easy-open-ai,0,20,256,4,96,3,34
nature924/No150Company-Asset-Website,0,19,3197,0,3,2,17
nb-sb/nft,0,20,19158,3,94,3,27
netfishers-onl/Netshot,0,273,14656,68,984,17,126
nia-medtech/expo-server-sdk-java,0,20,786,17,245,11,43
nielsbasjes/yauaa,0,903,100386,143,5119,18,116
nikhilmusale70/DSA,0,19,971,1,301,2,32
nisib/bookstore,0,19,66,14,4,1,81
niubility666666/process-zeebe,0,20,130,0,9,2,16
nlighten/wildfly_exporter,0,20,73,8,33,5,101
nlpie/biomedicus,0,20,7094,8,334,2,83
noeppi-noeppi/MythicBotany,0,20,3999,13,181,11,67
nova-video-player/aos-FileCoreLibrary,0,20,10883,11,767,12,94
novant-io/jasper-n4,0,22,188,8,94,2,38
nsherry4/Peakaboo,0,32,129374,10,2488,7,189
nulli0n/ExcellentEconomy,0,20,279,49,63,8,33
nyetwurk/ecuxplot,1,65,50080,21,996,9,162
oboehm/gdv.xport,0,30,21280,21,2666,23,197
oceanbase/obkv-hbase-client-java,0,20,2864,20,360,25,50
oceanbase/obkv-table-client-java,0,31,3888,24,531,38,52
oliverdunk/JukeboxAPI,0,19,220,16,128,13,123
omnifaces/omnifaces,0,301,15342,98,4166,20,144
onixary/shape-shifter-curse-fabric,0,47,6747,16,1024,12,11
open-telemetry/opentelemetry-java-contrib,1,258,25257,173,2053,110,67
open-telemetry/opentelemetry-java-instrumentation,1,2479,197187,1065,13586,424,78
openam-jp/openam,0,32,258655,14,7590,105,96
opencord/olt,0,19,5076,11,339,54,117
openhab/static-code-analysis,0,33,1749,24,431,38,108
openjdk/jdk8u,0,297,1009941,230,49684,133,61
openjdk/panama-vector,0,91,660062,43,87480,189,66
openjdk/riscv-port,0,61,1272977,18,87480,189,52
openrewrite/rewrite,1,3333,119492,511,10499,295,70
openrocket/openrocket,0,1725,388270,546,7520,69,162
opensearch-project/flow-framework,0,51,3462,63,513,41,31
opensearch-project/spring-data-opensearch,0,156,1674,57,371,28,42
opensourceBIM/GltfSerializers,0,19,212,12,308,6,120
opentripplanner/OpenTripPlanner,1,2564,221849,1095,31315,318,176
oracle/graal,0,21505,494565,1780,95068,272,122
oraxen/oraxen,1,695,34381,400,3046,81,79
ornl-epics/pvws,0,26,5930,20,168,14,83
orphan-oss/ognl,1,243,8790,87,1126,40,195
oshi/oshi,0,5192,344771,916,3324,207,169
osmandapp/OsmAnd-tools,0,111,75700,94,8963,46,159
oubaydos/DevOpsify,0,19,2518,4,329,6,47
pablo67340/BoTW-Durability-Mod,0,20,1816,2,6,1,78
pablo67340/GUIShop,1,46,3770,60,413,8,144
pac4j/pac4j,0,2514,69808,706,6722,180,170
parttimenerd/dead-code-agent,0,20,31,4,9,2,36
payara/Payara,0,911,208116,318,24295,108,138
paynezhuang/panis-boot-starter,0,19,130,23,35,1,23
pedro-javierf/NTRGhidra,0,204,834,17,104,4,72
pentaho/pentaho-kettle,0,8311,729839,3588,24942,177,149
pentaho/pentaho-platform,0,493,189873,731,10019,175,165
phax/ph-commons,1,40,49467,19,3668,12,139
phax/phase4,0,214,53409,61,3791,16,117
pinpoint-apm/pinpoint,0,13810,270009,3766,15556,123,137
piomin/kubernetes-workshop,0,20,91,7,115,2,66
pipe/whipi,0,20,22360,2,29,2,52
pixel-plug/AifadianPay-plugin,0,20,1012,3,30,2,27
plantuml/plantuml,1,12766,651753,1155,2671,122,184
plantuml/plantuml-server,0,2142,13048,572,502,56,182
ponnarasua/Travel-Itinerary-Planner,0,19,91,0,4,2,2
pony-huang/CCECDICT,0,20,5605,0,111,5,32
portfolio-performance/portfolio,1,3713,64591,752,7894,272,168
postech-dblab-iitp/visual-tool,0,20,262998,10,115,6,58
powsybl/powsybl-open-rao,0,29,41910,8,1163,49,88
protomaps/basemaps,0,608,5693,88,599,25,71
purejava/keepassxc-proxy-access,0,19,740,4,386,6,62
pushy/pushy-react-native,0,20,116,19,149,10,108
qianxiao996/BurpSuite-Start4burp,0,20,1512,0,7,1,35
qlangtech/plugins,1,18,12763,15,1098,3,71
qm123pz/NightSky-Client,0,20,104013,5,86,2,5
quarkiverse/quarkus-hivemq-client,1,6,19773,5,558,17,60
quarkiverse/quarkus-mailpit,0,20,897,10,276,14,29
rabbitmq/rabbitmq-stream-java-client,0,67,149919,17,3058,7,72
radcortez/flyway-junit5-extensions,0,19,362,1,367,6,70
reactiverse/vertx-maven-plugin,0,79,2125,13,1196,22,95
reactome/graph-core,0,20,2161,8,911,17,115
reactor/reactor-core,0,5208,66089,1244,5241,224,124
rebaze/integrity,0,19,682,3,256,2,150
redis/lettuce,0,5729,43641,1073,2856,152,142
redis/redis-om-spring,0,647,15682,103,745,27,53
relizaio/versioning,0,20,3163,2,274,7,82
remsfal/remsfal-backend,1,7,11847,88,490,47,38
reobf/Void-Miner-Tweak-Mod,0,19,175,2,13,4,24
rfresh2/XaeroPlus,0,173,36512,47,1066,18,43
riktenx/loot-filters,0,20,1108,10,336,10,15
risin42/NagramX,0,1408,772497,81,4459,70,16
robcast/digilib,0,19,41099,8,1879,20,150
robolectric/robolectric,0,6000,65866,1379,15619,199,187
rocketbase-io/db-scheduler-log,0,20,79,7,22,2,37
saipanman95/Spring_Jms_Course,0,20,815,10,17,3,95
salesforce/multicloudj,1,72,17560,16,283,16,11
sarojaba/prettytable4j,0,20,41,6,25,3,106
sbmlteam/jsbml,0,41,316104,27,3950,48,118
sboesebeck/morphium,0,60,16254,20,5265,14,164
schiob/AlgoritmosSistemas,0,19,386,127,327,21,91
schmave/demschooltools,1,7,42608,4,2543,14,128
seed4j/seed4j,0,604,70184,226,24850,91,56
sekelsta/horse-colors,0,20,4778,13,570,6,80
sfuhrm/radiorecorder,0,42,869,6,971,4,100
sfuhrm/sudoku,0,21,696,8,635,8,110
sgzachesov/effective-java,0,19,4842,6,95,2,39
shepherdviolet/spring-boot-template,0,20,498,6,74,1,76
shiawasenahikari/UnoCard,0,20,79345,5,154,3,68
shilec/XWidget,0,19,13602,4,60,3,66
shining-stars-l/javaup,0,675,154034,24,161,1,4
shiroroku/LootBeams,0,20,612,32,27,2,56
siyuan-note/siyuan-android,0,432,35135,121,928,10,61
skirsten/proot-portable-android-binaries,0,19,1334,7,18,4,73
skynetcap/openbook-mm,0,20,66,12,26,1,35
slackhq/astra,1,246,7227,44,1251,29,68
smartboot/feat,0,41,11498,7,1322,3,15
smartboot/smart-mqtt,0,172,75497,26,1406,8,47
smithy-lang/smithy-java,1,49,8569,25,1097,41,24
smswg/callwg,0,20,23,1,11,1,35
snap-backup/snapbackup,0,19,972038,8,299,4,146
snowdrop/java-buildpack-client,0,20,662,8,219,10,64
snyk/snyk-eclipse-plugin,1,20,77656,7,671,43,98
spannm/ucanaccess,0,73,7393,9,1022,6,30
spinrdf/spinrdf,0,20,263,12,17,5,111
spockframework/spock,0,3626,36226,480,3465,112,183
sporrus/randomMindustry,0,19,1696,5,656,3,45
spring-cloud/spring-cloud-netflix,0,4961,21142,2457,3558,209,140
spring-projects/spring-integration,0,1620,79927,1143,12843,258,176
spring-projects/spring-tools,0,951,202668,224,6959,28,115
spring-projects/spring-ws,0,341,24531,315,3037,54,158
standard-webhooks/standard-webhooks,0,1616,566,57,153,36,31
stonecutter-versioning/stonecutter-template-fabric,0,20,107,3,44,3,24
stripe/stripe-java,0,958,1248546,392,2978,148,175
sualeh/build-jpackage,0,20,214,1,61,1,64
substrait-io/substrait-java,0,99,2881,95,586,77,47
super-cc/Kotlin-Jetpack-MVVM-Retrofit,0,20,281,5,55,5,59
sventorben/keycloak-home-idp-discovery,0,327,952,62,591,4,52
swift-lang/swift-t,0,56,215080,22,10286,18,141
t1/problem-details,0,20,559,6,340,3,75
tacitknowledge/jcr-mock,0,20,372,9,121,11,161
tarxemo/sms-hacking-android-app,0,20,1406,8,17,1,13
tcheeric/nostr-java,1,87,4398,28,1848,20,39
techsenger/tabshell,0,25,8298,2,374,1,13
tencentyun/cmq-java-tcp-sdk,0,20,395,17,74,15,85
tensorflow/java,0,920,47110,223,913,73,78
terrakube-io/terrakube,0,855,10229,94,1989,48,60
tetsuwaka/CausalExtraction,0,20,143,2,95,4,140
threerings/narya,0,49,25367,16,6868,28,179
threerings/vilya,0,20,4604,9,1161,15,179
thuryn/your-local-weather,0,133,63461,36,5555,303,98
tntim96/JSCover,0,402,28491,84,1747,10,161
tommyettinger/BlazingChain,0,20,1405,3,41,2,114
top-logic/tl-engine,1,8,173514,5,6655,25,33
traccar/traccar,0,7063,25069,3149,9533,199,167
tradestreamhq/tradestream,1,5,73261,1,2772,4,16
trivago/jcha,0,20,133,4,62,6,139
ttoklip/BackEnd,0,19,18682,1,1216,8,26
twonirwana/DiscordDiceBot,0,50,77356,9,1155,4,54
typetools/checker-framework,0,1133,241328,439,19690,145,128
tzolov/spring-ai-mcp-blogpost,0,20,89,10,7,3,6
unicode-org/cldr,0,1071,690972,427,18003,114,102
unitycatalog/unitycatalog,0,3329,23307,586,639,108,21
uysolanki/Interview-Preparation-Batch,0,20,2086,1,13,1,18
val213/Mail,0,19,377,7,115,7,22
vert-x3/vertx-codetrans,0,20,944,20,386,15,136
vespa-engine/vespa,0,6815,478454,700,94941,105,117
viatra/massif,0,20,10111,14,616,20,137
vil/haiku,0,44,4006,6,119,6,38
vsilaev/tascalate-javaflow,0,89,1797,7,301,2,124
weavechain/bulletproofs,0,20,167,1,17,1,33
wgzhao/Addax,0,1405,54858,331,1977,25,80
wildfly/wildfly,0,3156,301641,2250,43063,299,188
wildmountainfarms/solarthing,0,146,19259,33,1202,3,80
williamfiset/Algorithms,0,18525,1297769,4526,1706,51,108
wisemapping/wisemapping-open-source,1,240,26490,55,3229,38,25
woowacourse-teams/2025-festabook,0,20,50813,0,492,8,8
wso2-extensions/identity-organization-management,1,6,9107,89,2830,94,51
wso2/product-is,0,842,187458,954,18052,225,143
wultra/powerauth-server,0,20,25802,11,2387,23,104
xRahul/GroupingMessages,0,20,17439,4,63,8,109
xandergos/terrain-diffusion-mc,0,20,120,2,26,2,4
xerial/snappy-java,1,1081,38925,251,1240,83,162
xerial/sqlite-jdbc,0,3207,675620,659,1867,130,139
xiaoyvyv/YangtzeuApp,0,20,31981,5,26,2,89
xpipe-io/xpipe,0,13854,62424,527,3062,19,38
xsreality/abstractness-instability-calculator,0,20,79,2,26,4,18
xtclang/xvm,1,210,110199,22,9240,24,80
xtea/videoclean,0,20,21,10,6,2,69
xuyisu/fw-boot-admin-eureka,0,20,345,4,3,1,77
yangjun7948/wms,0,20,8585,4,8,1,27
yangzongzhuan/RuoYi-Cloud,0,1643,4005,875,1189,51,70
yellowstonegames/SquidSquad,0,49,398613,3,2634,1,64
yennanliu/CS_basics,1,131,323943,52,7786,8,115
yuegongzi/alist_hub,0,19,20017,4,83,1,26
yuenkang/openclaw-java,0,23,2162,9,133,3,1
yugabyte/yb-kafka-connector,0,20,43121,10,24,9,89
yuliskov/SmartTube,0,28660,102172,1543,209,10,68
yunhua-lee/micromq,0,20,69,13,15,2,68
yurievivan/TreeProject,0,20,96,3,51,3,58
yuzawa-san/onnxruntime-java,0,29,3169,1,1137,3,49
zhkl0228/libnetguard,0,20,1476,6,319,2,36
zilliztech/vts,1,113,44336,18,4910,401,20
zmk-ink/reabble-android,0,130,193,3,38,1,62
